TS|(Arduino),TS|(Rpi),CH4|MQ1|description MQ1,CO|MQ2|description MQ2,Gen|MQ3|description MQ3,Alcohol|MQ4|description MQ4,NH3|MQ5|description MQ5,Comb|MQ6|description MQ6,SCD time|SCD41|description SCD41,ppm CO2|SCD41|description SCD41,C|SCD41|description SCD41,ticksC|SCD41|description SCD41,RH|SCD41|description SCD41,ticksRH|SCD41,Session
2023-07-29 18:07:52.044,2023-07-29 18:07:52.143,121.77,178.88,126.88,467.85,148.1,371.84,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.144,2023-07-29 18:07:52.244,165.31,185.04,114.65,403.63,166.14,300.49,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.244,2023-07-29 18:07:52.344,126.89,142.9,139.86,411.53,159.44,366.47,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.344,2023-07-29 18:07:52.444,124.69,104.06,196.06,487.22,134.4,361.7,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.445,2023-07-29 18:07:52.545,170.27,120.28,196.55,405.7,112.12,318.61,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.545,2023-07-29 18:07:52.645,168.43,197.54,145.62,458.0,184.94,357.32,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.645,2023-07-29 18:07:52.745,101.25,191.28,191.67,478.13,113.69,310.53,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.745,2023-07-29 18:07:52.845,107.55,178.41,140.08,409.79,171.69,397.02,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.846,2023-07-29 18:07:52.945,170.74,188.38,191.93,451.36,142.59,327.91,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:52.946,2023-07-29 18:07:53.046,133.17,163.59,142.82,440.08,142.66,311.04,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.046,2023-07-29 18:07:53.146,139.8,167.86,161.77,495.4,145.57,395.11,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.146,2023-07-29 18:07:53.246,137.34,185.44,128.45,435.99,142.99,366.28,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.247,2023-07-29 18:07:53.346,166.2,195.19,104.91,437.94,159.55,356.83,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.347,2023-07-29 18:07:53.447,116.33,111.48,191.02,472.39,108.5,311.69,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.447,2023-07-29 18:07:53.547,169.77,102.97,175.41,488.27,111.09,368.66,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.548,2023-07-29 18:07:53.647,164.04,143.86,138.61,482.34,159.08,346.36,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.648,2023-07-29 18:07:53.748,180.34,169.0,191.17,497.3,171.31,307.29,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.748,2023-07-29 18:07:53.848,105.49,141.88,172.21,478.99,167.67,396.14,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.848,2023-07-29 18:07:53.948,189.85,171.69,155.6,457.49,100.43,339.38,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:53.949,2023-07-29 18:07:54.048,143.39,105.12,189.56,441.62,173.41,370.21,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:54.049,2023-07-29 18:07:54.149,121.09,185.33,152.73,404.81,173.86,363.56,,,,,,,2023-07-29 18:07:51
2023-07-29 18:07:54.149,2023-07-29 18:07:54.249,155.25,160.46,102.93,446.55,148.75,383.41,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.249,2023-07-29 18:07:54.349,197.13,189.03,198.59,431.98,136.55,347.79,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.350,2023-07-29 18:07:54.450,146.4,149.43,147.7,409.88,118.06,358.06,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.450,2023-07-29 18:07:54.550,143.83,184.01,138.93,431.12,135.23,324.78,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.550,2023-07-29 18:07:54.650,161.43,140.11,198.59,479.28,181.72,388.35,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.651,2023-07-29 18:07:54.751,113.65,103.69,126.84,494.85,166.88,351.08,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.751,2023-07-29 18:07:54.851,187.29,141.31,147.56,408.42,117.46,303.57,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.851,2023-07-29 18:07:54.951,193.52,109.79,128.17,461.68,131.37,306.57,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:54.952,2023-07-29 18:07:55.051,165.71,120.96,198.08,467.82,144.67,319.38,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.052,2023-07-29 18:07:55.152,175.95,173.35,114.4,408.25,134.36,372.07,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.152,2023-07-29 18:07:55.252,123.39,133.13,128.6,498.23,199.13,373.31,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.252,2023-07-29 18:07:55.352,153.05,120.1,119.33,492.5,158.12,306.21,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.353,2023-07-29 18:07:55.453,153.27,167.82,114.14,438.71,140.01,345.25,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.453,2023-07-29 18:07:55.553,117.7,137.08,152.45,408.85,174.39,309.24,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.553,2023-07-29 18:07:55.653,144.64,144.89,177.93,471.42,198.06,343.14,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.654,2023-07-29 18:07:55.753,128.72,105.41,193.22,454.8,107.89,345.64,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.754,2023-07-29 18:07:55.854,188.6,131.23,146.99,470.49,147.13,317.59,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.854,2023-07-29 18:07:55.954,112.11,140.71,144.55,460.41,169.27,301.76,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:55.954,2023-07-29 18:07:56.054,150.27,176.9,157.41,471.25,185.76,318.27,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.055,2023-07-29 18:07:56.155,190.09,131.3,140.51,475.88,191.88,313.07,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.155,2023-07-29 18:07:56.255,137.46,169.13,171.6,442.76,108.89,348.17,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.255,2023-07-29 18:07:56.355,187.89,199.56,175.18,431.51,177.19,342.17,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.356,2023-07-29 18:07:56.455,161.98,116.28,163.88,424.58,143.49,396.82,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.456,2023-07-29 18:07:56.556,166.23,167.19,111.79,402.67,174.61,386.43,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.556,2023-07-29 18:07:56.656,164.86,147.07,183.71,481.63,140.98,350.04,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.656,2023-07-29 18:07:56.756,167.89,135.5,195.7,475.55,180.41,321.77,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.757,2023-07-29 18:07:56.857,150.21,162.64,137.13,424.85,143.43,363.99,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.857,2023-07-29 18:07:56.957,139.3,130.9,163.95,437.09,115.61,353.83,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:56.957,2023-07-29 18:07:57.057,120.37,185.89,187.71,496.4,106.01,323.99,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.058,2023-07-29 18:07:57.157,129.82,192.54,196.23,469.93,111.39,369.34,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.158,2023-07-29 18:07:57.258,186.61,147.69,134.01,414.7,137.57,394.46,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.258,2023-07-29 18:07:57.358,158.45,186.06,135.98,423.4,181.29,342.92,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.359,2023-07-29 18:07:57.459,126.62,173.79,141.44,403.0,115.14,319.22,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.459,2023-07-29 18:07:57.559,196.36,104.99,130.2,402.93,132.79,336.72,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.559,2023-07-29 18:07:57.659,112.43,188.95,172.62,464.45,168.16,371.48,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.659,2023-07-29 18:07:57.759,122.77,144.38,132.81,473.31,193.85,356.03,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.760,2023-07-29 18:07:57.860,155.57,109.54,183.79,495.69,174.46,331.52,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.860,2023-07-29 18:07:57.960,160.5,189.9,136.64,409.31,191.56,304.28,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:57.960,2023-07-29 18:07:58.060,177.31,184.65,191.35,428.04,161.01,360.77,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.061,2023-07-29 18:07:58.160,117.77,168.79,100.22,465.11,176.19,364.22,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.161,2023-07-29 18:07:58.261,126.69,134.03,126.93,414.22,184.73,305.77,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.261,2023-07-29 18:07:58.361,173.56,151.68,163.12,498.68,161.23,330.28,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.361,2023-07-29 18:07:58.461,138.69,191.18,124.86,404.09,140.44,370.34,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.462,2023-07-29 18:07:58.562,156.77,198.56,164.18,457.93,184.85,390.8,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.562,2023-07-29 18:07:58.662,112.74,193.21,123.92,410.41,196.45,316.8,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.662,2023-07-29 18:07:58.762,161.41,171.53,126.72,407.8,169.59,329.87,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.763,2023-07-29 18:07:58.862,175.34,173.48,191.9,434.67,136.12,362.7,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.863,2023-07-29 18:07:58.963,190.59,110.5,154.87,434.25,151.5,325.59,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:58.963,2023-07-29 18:07:59.063,196.26,159.82,150.42,484.68,122.87,382.92,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:59.063,2023-07-29 18:07:59.164,170.19,135.87,193.43,497.75,173.51,339.98,2023-07-29 18:07:54.227,158.97,31.2,1690646874.2276561,185.41,1690646874.2276561,2023-07-29 18:07:51
2023-07-29 18:07:59.164,2023-07-29 18:07:59.264,188.4,147.96,147.31,460.88,157.24,314.29,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.265,2023-07-29 18:07:59.364,172.4,132.52,107.97,413.48,135.49,311.62,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.365,2023-07-29 18:07:59.465,187.34,191.52,164.94,427.21,196.1,311.01,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.465,2023-07-29 18:07:59.565,178.77,198.64,197.33,435.14,120.79,325.43,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.565,2023-07-29 18:07:59.665,109.03,174.59,160.19,431.22,183.22,361.6,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.666,2023-07-29 18:07:59.765,133.58,177.71,120.26,432.97,160.37,382.0,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.766,2023-07-29 18:07:59.866,159.4,102.18,167.12,453.06,145.48,324.74,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.866,2023-07-29 18:07:59.966,133.49,158.09,113.48,490.5,102.91,312.88,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:07:59.966,2023-07-29 18:08:00.066,164.72,178.02,119.5,408.22,164.25,321.62,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.067,2023-07-29 18:08:00.167,121.53,159.06,121.53,413.33,158.47,324.51,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.167,2023-07-29 18:08:00.267,100.45,107.63,154.08,417.2,199.88,376.24,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.267,2023-07-29 18:08:00.367,119.34,188.24,194.78,404.83,178.03,372.02,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.368,2023-07-29 18:08:00.468,129.46,141.11,131.57,483.62,146.26,379.91,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.468,2023-07-29 18:08:00.568,149.02,110.86,164.16,443.09,126.21,339.98,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.568,2023-07-29 18:08:00.668,192.66,139.12,179.28,482.5,169.1,321.43,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.669,2023-07-29 18:08:00.768,152.8,132.09,175.0,403.11,180.86,324.21,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.769,2023-07-29 18:08:00.869,131.19,198.83,170.76,409.28,106.92,387.58,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.869,2023-07-29 18:08:00.969,146.45,186.58,165.15,496.59,198.61,323.87,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:00.969,2023-07-29 18:08:01.069,199.14,141.21,144.84,412.36,155.21,389.04,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.070,2023-07-29 18:08:01.170,148.52,101.73,188.15,405.21,170.5,337.14,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.170,2023-07-29 18:08:01.270,131.92,188.91,145.55,484.95,101.93,393.44,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.270,2023-07-29 18:08:01.370,171.17,134.98,100.58,432.42,160.78,375.95,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.371,2023-07-29 18:08:01.470,179.21,187.77,144.44,472.11,163.72,343.06,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.471,2023-07-29 18:08:01.570,134.2,118.88,180.68,402.07,166.67,303.62,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.571,2023-07-29 18:08:01.671,118.66,116.99,197.86,475.58,193.27,305.18,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.671,2023-07-29 18:08:01.771,155.3,133.29,130.68,459.07,163.89,347.25,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.772,2023-07-29 18:08:01.872,152.66,170.88,167.61,409.39,101.86,391.05,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.872,2023-07-29 18:08:01.972,167.06,128.65,112.87,461.63,147.28,304.19,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:01.972,2023-07-29 18:08:02.072,127.38,154.96,118.14,435.08,147.91,356.04,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.072,2023-07-29 18:08:02.172,131.55,138.94,140.63,428.02,189.81,373.03,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.173,2023-07-29 18:08:02.273,168.05,185.4,106.25,499.56,102.05,341.29,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.273,2023-07-29 18:08:02.373,121.21,118.33,182.49,412.45,122.3,324.95,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.373,2023-07-29 18:08:02.473,149.48,134.71,133.29,439.64,187.99,394.53,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.473,2023-07-29 18:08:02.573,115.02,156.94,188.66,481.69,194.31,354.87,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.573,2023-07-29 18:08:02.673,188.42,120.96,142.38,497.77,195.51,361.3,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.674,2023-07-29 18:08:02.773,187.05,169.5,122.77,412.03,166.12,322.29,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.774,2023-07-29 18:08:02.874,150.47,147.02,176.12,430.74,101.53,337.45,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.874,2023-07-29 18:08:02.974,157.33,137.4,137.6,491.08,148.73,346.13,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:02.975,2023-07-29 18:08:03.074,160.12,170.22,102.31,461.22,168.67,329.67,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
2023-07-29 18:08:03.075,2023-07-29 18:08:03.175,111.29,103.67,131.15,431.37,131.24,386.34,2023-07-29 18:07:59.231,119.88,35.1,1690646879.2313719,164.2,1690646879.2313719,2023-07-29 18:07:51
